RTT_time,on_chain_time,result
0.0,2256.5128803253174,Pass
0.0,2257.396936416626,Pass
RTT_time,on_chain_time,result
0.0,478.4679412841797,Pass
0.0,478.43003273010254,Pass
RTT_time,on_chain_time,result
0.0,0.0,
0.0,0.0,
RTT_time,on_chain_time,result
0.0,1871.9260692596436,Pass
894.3895828723907,69694.63014602661,Pass
RTT_time,on_chain_time,result
609.1011669635773,278533.43892097473,Pass
609.1079168319702,754024.9099731445,Pass
RTT_time,on_chain_time,result
0.0,1487.635850906372,Pass
632.490916967392,38185.27603149414,Pass
RTT_time,on_chain_time,result
610.5661249160767,38230.326890945435,Pass
0.0,1448.9500522613525,Pass
RTT_time,on_chain_time,result
651.037999868393,95426.14793777466,Pass
0.0,1341.1283493041992,Pass
0.0,1448.495864868164,Pass
RTT_time,on_chain_time,result
0.0,1726.7251014709473,Pass
0.0,1316.6306018829346,Pass
612.2175002098083,19998.094081878662,Pass
RTT_time,on_chain_time,result
602.0897088050842,24210.85286140442,Pass
0.0,1591.7861461639404,Pass
604.5071671009064,35520.90907096863,Pass
RTT_time,on_chain_time,result
601.0369999408722,66264.16993141174,Pass
0.0,1568.1869983673096,Pass
0.0,1609.5218658447266,Pass
RTT_time,on_chain_time,result
624.4951250553131,18239.99309539795,Pass
629.4905831813812,22140.235900878906,Pass
607.6683747768402,8188.374042510986,Pass
